time_unity	object	position	
7.048305	Female03	(-0.61, 0.43, -0.83)	
7.063045	Female03	(-0.55, 0.36, -0.81)	
7.077443	Female03	(-0.54, 0.34, -0.81)	
7.089508	Female03	(-0.59, 0.34, -0.83)	
7.105087	Female03	(-0.58, 0.35, -0.82)	
7.121128	Female03	(-0.58, 0.37, -0.82)	
7.135845	Female03	(-0.56, 0.39, -0.81)	
7.150359	Female03	(-0.54, 0.41, -0.81)	
7.163289	Female03	(-0.53, 0.41, -0.80)	
7.176429	Female03	(-0.49, 0.38, -0.80)	
7.189692	Female03	(-0.50, 0.41, -0.80)	
7.204139	Female03	(-0.51, 0.39, -0.80)	
7.219073	Female03	(-0.55, 0.41, -0.81)	
7.233902	Female03	(-0.61, 0.42, -0.84)	
7.249385	Female03	(-0.63, 0.42, -0.85)	
7.261974	Female03	(-0.66, 0.42, -0.88)	
7.274981	Female03	(-0.65, 0.41, -0.87)	
7.288682	Female03	(-0.65, 0.41, -0.87)	
7.302287	Female03	(-0.63, 0.39, -0.85)	
7.316043	Female03	(-0.62, 0.37, -0.84)	
7.329536	Female03	(-0.58, 0.39, -0.82)	
7.342487	Female03	(-0.60, 0.39, -0.83)	
7.355587	Female03	(-0.60, 0.41, -0.83)	
7.370789	Female03	(-0.60, 0.41, -0.83)	
7.386494	Female03	(-0.56, 0.42, -0.81)	
7.400753	Female03	(-0.53, 0.41, -0.80)	
7.415304	Female03	(-0.50, 0.38, -0.80)	
7.430926	Female03	(-0.50, 0.38, -0.80)	
7.445198	Female03	(-0.52, 0.40, -0.80)	
7.461573	Floor	(0.40, -0.36, -2.42)	
7.475684	Floor	(0.89, -0.36, -2.48)	
7.48772	Floor	(1.12, -0.36, -2.55)	
7.502402	Floor	(1.19, -0.36, -2.47)	
7.517935	Floor	(1.14, -0.36, -2.50)	
7.53025	Floor	(1.14, -0.36, -2.64)	
7.545535	Floor	(1.05, -0.36, -2.51)	
7.561153	Floor	(1.17, -0.36, -2.51)	
7.574264	Female02	(0.31, 0.31, -1.03)	
7.588529	Female02	(0.31, 0.33, -0.97)	
7.603118	Female02	(0.32, 0.40, -0.92)	
7.61693	Female02	(0.31, 0.37, -0.94)	
7.630357	Female02	(0.31, 0.37, -0.93)	
7.645076	Female02	(0.32, 0.35, -0.92)	
7.658187	Female02	(0.32, 0.32, -0.94)	
7.673596	Female02	(0.32, 0.32, -0.94)	
7.688258	Female02	(0.32, 0.31, -0.96)	
7.704044	Female02	(0.33, 0.27, -1.01)	
7.719386	Floor	(1.17, -0.36, -2.53)	
7.73144	Floor	(1.11, -0.36, -2.51)	
7.74382	Floor	(1.08, -0.36, -2.53)	
7.755406	Floor	(1.07, -0.36, -2.55)	
7.769833	Floor	(1.05, -0.36, -2.60)	
7.785178	Floor	(0.99, -0.36, -2.57)	
7.798149	Floor	(1.03, -0.36, -3.17)	
7.811811	Floor	(1.05, -0.36, -3.67)	
7.82454	Floor	(0.94, -0.36, -3.41)	
7.837894	MixamoFemale01	(0.42, 0.20, -1.85)	
7.851025	MixamoFemale01	(0.43, 0.20, -1.84)	
7.864848	MixamoFemale01	(0.42, 0.21, -1.84)	
