Session Ind,Catch Ind,Threshold,Number of agents,agents' raised hand,participant's raised hand,response time,responses,time from the onset of experiment,responding agents,time that fixation disappears
2,1,0.5,4,2,2,2.099609,2,1126.369,1658,1129.277
2,1,0.5,8,2,1,1.814453,1,1131.092,7.16E+07,1134.284
2,1,0.5,6,2,1,1.709717,1,1135.993,541286,1139.294
2,1,0.5,2,1,2,1.814575,1,1141.108,53,1144.303
2,1,0.5,1,2,2,2.467407,1,1146.77,5,1149.314
2,1,0.4,3,2,1,2.335083,1,1151.649,786,1154.316
2,1,0.5,8,1,1,1.817261,2,1156.133,7.43E+07,1159.325
2,1,0.5,2,2,2,1.977173,2,1161.302,47,1164.335
2,1,0.5,2,1,2,1.810303,1,1166.146,54,1169.336
2,1,0.5,5,2,2,1.760132,2,1171.096,16783,1174.344
2,1,0.5,7,1,1,1.919189,2,1176.264,8342715,1179.347
2,1,0.5,3,1,1,1.941284,2,1181.289,425,1194.362
2,1,0.6,4,1,2,1.78772,1,1196.15,5637,1199.364
2,1,0.4,6,2,1,1.553589,1,1200.918,386521,1204.376
2,1,0.5,2,1,2,1.761719,2,1206.138,27,1209.377
2,1,0.5,4,2,2,1.99585,2,1211.373,2183,1214.391
2,1,0.6,6,1,2,1.640625,2,1216.032,371264,1219.404
2,1,0.5,2,2,2,2.392822,2,1221.797,86,1224.406
2,1,0.5,4,2,2,2.326416,2,1226.733,5647,1229.411
2,1,0.5,4,2,2,2.06311,2,1231.474,7246,1234.425
2,1,0.5,8,1,2,1.657349,1,1236.082,1.32E+07,1239.431
2,1,0.5,5,2,2,1.767212,2,1241.198,84561,1244.441
2,1,0.5,4,2,1,1.978638,1,1246.42,6847,1249.457
2,1,0.5,3,2,1,2.079468,1,1251.536,768,1254.466
2,1,0.5,1,1,1,2.599365,2,1257.065,4,1259.467
2,1,0.6,3,2,2,1.996094,2,1261.463,418,1264.476
2,1,0.5,5,1,2,1.731445,1,1266.208,34268,1269.481
2,1,0.5,7,1,1,1.76355,2,1271.244,2357468,1274.49
2,1,0.5,3,1,1,1.779785,2,1276.27,463,1279.499
2,1,0.5,5,2,1,1.968262,1,1281.467,25187,1284.505
2,1,0.5,2,1,2,1.774658,1,1286.279,28,1289.509
2,1,0.4,2,1,1,1.643921,2,1291.153,24,1294.512
2,1,0.5,1,1,2,1.799561,2,1296.312,8,1299.521
2,1,0.5,1,1,1,1.971069,1,1301.492,6,1304.532
2,1,0.5,3,2,2,1.92981,2,1306.462,617,1309.549
2,1,0.5,4,1,2,1.602295,1,1311.151,1843,1314.559
2,1,0.5,6,2,1,1.575439,1,1316.135,264751,1319.562
2,1,0.5,1,1,1,1.719238,1,1321.281,4,1324.566
2,1,0.5,5,2,2,1.706909,2,1326.273,53182,1329.57
2,1,0.5,6,2,1,1.769165,1,1331.339,475638,1334.579
2,1,0.5,1,1,1,1.843018,1,1336.422,5,1339.583
2,1,0.5,7,2,2,1.653076,2,1341.236,4687531,1344.584
2,1,0.5,8,2,2,1.759888,2,1346.344,2.86E+07,1349.588
2,1,0.4,3,1,1,1.736084,2,1351.324,851,1354.597
2,1,0.5,7,2,2,1.733643,2,1356.33,8752431,1359.604
2,1,0.5,1,1,1,2.001709,2,1361.606,3,1364.606
2,1,0.5,1,2,2,2.063232,2,1366.67,7,1369.612
2,1,0.5,6,2,1,1.586426,1,1371.198,713548,1374.618
2,1,0.5,8,2,2,1.581177,2,1376.199,2.64E+07,1379.621
2,1,0.5,2,1,1,1.640137,2,1381.261,87,1384.63
2,1,0.5,8,1,1,1.553101,2,1386.183,5.17E+07,1389.642
2,1,0.5,2,1,1,1.68811,2,1391.33,57,1394.646
2,1,0.5,5,2,2,2.036377,2,1396.683,87361,1399.654
2,1,0.5,8,1,1,1.538452,2,1401.192,6.75E+07,1404.66
2,1,0.5,7,2,2,1.832397,2,1406.493,1285743,1409.666
2,1,0.6,5,2,2,1.982422,2,1411.648,42176,1414.667
2,1,0.4,6,2,1,1.557007,1,1416.224,285463,1419.674
2,1,0.5,8,2,2,1.773193,2,1421.447,4.76E+07,1424.684
2,1,0.5,5,2,2,1.639526,2,1426.324,36128,1429.695
2,1,0.6,1,1,2,2.04895,1,1431.744,3,1434.701
2,1,0.5,1,2,2,2.003052,2,1436.704,2,1439.706
2,1,0.5,8,2,1,1.579834,1,1441.286,8.46E+07,1444.719
2,1,0.5,8,1,1,1.624023,2,1446.343,1.79E+07,1449.72
2,1,0.5,3,2,2,1.984619,2,1451.705,176,1454.721
2,1,0.5,6,1,2,1.831787,1,1456.553,621483,1459.73
2,1,0.4,8,2,1,1.661987,1,1461.392,5.48E+07,1464.73
2,1,0.5,7,2,2,2.256592,2,1466.987,7842615,1469.734
2,1,0.5,2,1,2,2.317749,1,1472.052,36,1474.734
2,1,0.5,6,2,1,2.142578,1,1476.877,716382,1479.74
2,1,0.5,4,1,2,4.004761,2,1483.745,6583,1484.762
2,1,0.5,7,1,1,1.981689,2,1486.744,6782134,1489.774
2,1,0.5,7,2,2,1.823853,2,1491.598,7245316,1494.786
2,1,0.5,5,1,2,2.259399,2,1497.046,23517,1499.792
2,1,0.5,7,2,2,2.006714,2,1501.799,1437286,1504.804
2,1,0.5,1,2,2,1.804688,2,1506.609,3,1509.81
2,1,0.5,6,1,2,2.108887,2,1511.919,135284,1514.82
2,1,0.5,3,2,2,2.533203,2,1517.353,634,1519.821
2,1,0.5,4,1,2,1.762451,2,1521.583,4627,1524.829
2,1,0.6,4,2,2,1.291992,2,1526.121,1473,1529.842
2,1,0.5,6,2,1,2.281982,1,1532.124,431765,1534.849
2,1,0.5,4,2,2,2.020508,2,1536.87,4673,1539.853
2,1,0.6,4,2,2,1.64978,2,1541.503,4516,1544.858
2,1,0.5,7,2,2,2.308105,2,1547.166,2841756,1549.869
2,1,0.5,4,2,2,1.657837,1,1551.527,8724,1554.881
2,1,0.5,3,1,2,1.130615,2,1556.012,864,1559.893
2,1,0.6,3,1,2,1.45752,1,1561.351,325,1564.903
2,1,0.5,8,2,2,1.610596,2,1566.514,6.25E+07,1569.91
2,1,0.5,6,2,2,1.789429,2,1571.699,745312,1574.922
2,1,0.5,1,2,2,1.745239,1,1576.667,2,1579.933
2,1,0.5,2,2,2,1.664795,2,1581.598,76,1584.938
2,1,0.4,8,1,1,1.756348,2,1586.694,4.84E+07,1589.939
2,1,0.5,7,2,2,1.885742,1,1591.825,8725463,1594.953
2,1,0.5,5,2,2,2.187378,1,1597.141,45672,1599.954
2,1,0.5,1,2,2,1.60437,2,1601.559,4,1604.961
2,1,0.5,6,2,2,1.60022,2,1606.561,648137,1609.964
2,1,0.5,6,1,2,1.250366,1,1611.214,621735,1614.975
2,1,0.6,7,1,2,1.405518,1,1616.38,4725368,1619.986
2,1,0.4,1,1,1,1.599854,2,1621.586,7,1624.998
2,1,0.5,3,2,2,1.495117,2,1626.493,312,1630.006
2,1,0.5,4,2,2,2.205811,1,1632.211,6274,1635.009
2,1,0.5,8,2,2,2.432373,2,1637.441,3.24E+07,1640.009
2,1,0.5,6,2,2,1.607788,1,1641.617,657243,1645.017
2,1,0.5,2,2,2,1.575806,2,1646.593,27,1650.023
2,1,0.5,2,2,2,1.856567,1,1651.88,86,1655.028
2,1,0.6,6,2,2,1.569336,2,1656.598,183764,1660.034
2,1,0.5,7,2,2,1.572632,2,1661.607,8542613,1665.045
2,1,0.5,3,2,2,1.49292,2,1666.538,781,1670.053
2,1,0.5,2,1,2,1.49231,2,1671.546,43,1675.06
2,1,0.5,8,2,2,2.373291,1,1677.433,7.64E+07,1680.069
2,1,0.5,1,2,2,3.100464,2,1683.169,6,1685.091
2,1,0.5,7,1,2,2.080811,2,1687.172,6387215,1690.092
2,1,0.5,4,2,2,1.355957,1,1691.448,5867,1695.103
2,1,0.5,1,2,2,1.917847,1,1697.021,2,1700.106
2,1,0.5,6,1,2,1.88269,1,1701.989,847231,1705.113
2,1,0.5,5,2,2,1.341675,2,1706.455,12658,1710.119
2,1,0.5,1,1,2,1.504639,1,1711.624,6,1715.128
2,1,0.5,7,2,2,1.447021,2,1716.575,6154837,1720.136
2,1,0.6,4,2,2,0.9838867,2,1721.12,5182,1725.14
2,1,0.4,5,1,1,1.446167,2,1726.586,15784,1730.147
2,1,0.5,7,2,2,2.207886,1,1732.355,5428713,1735.156
2,1,0.5,3,2,2,1.884888,1,1737.041,124,1740.157
2,1,0.5,4,2,1,2.305176,1,1742.462,3578,1745.163
2,1,0.5,2,2,2,2.106567,1,1747.269,62,1750.165
2,1,0.5,2,1,2,1.876953,2,1752.042,76,1755.168
2,1,0.5,6,1,1,3.355591,1,1758.524,573142,1760.17
2,1,0.5,1,2,2,2.355713,1,1762.526,6,1765.175
2,1,0.5,7,2,2,2.419434,2,1767.595,8736425,1770.19
2,1,0.5,3,2,1,2.807007,1,1772.997,621,1775.191
2,1,0.4,8,1,1,1.606567,2,1776.797,7.42E+07,1780.2
2,1,0.6,7,1,2,1.494507,1,1781.694,4781536,1785.208
2,1,0.5,5,1,2,1.663086,1,1786.871,74638,1790.217
2,1,0.5,3,2,2,1.346436,2,1791.564,357,1795.228
2,1,0.5,7,1,2,1.793213,2,1797.021,6834572,1800.229
2,1,0.5,4,2,2,2.11438,1,1802.344,7812,1805.239
2,1,0.4,5,2,1,1.867432,2,1807.106,73268,1810.241
2,1,0.6,1,1,2,1.561646,1,1811.802,4,1815.25
2,1,0.5,7,1,2,1.286987,2,1816.537,2837614,1820.25
2,1,0.6,1,1,2,1.448853,1,1821.699,7,1825.261
